UserId,RecommendedItemIds
4,28207 18512 11906 10782 17236
5,23707 7156 35270 31756 3960
8,14653 9009 8646 34182 30668
9,28207 29644 33392 30187 34664
13,29283 20144 14371 27595 9089
18,10123 32797 17099 5847 8646
19,27779 1715 17099 34885 19920
23,14653 27323 12635 36960 8884
26,9548 30187 27595 24297 12876
29,14322 2391 3021 7064 18105
31,18512 13981 32800 9784 28840
32,28198 30266 9548 34521 13428
33,22965 13672 17034 34283 15678
35,1137 17593 12450 22594 12094
37,22965 28198 25812 11578 30187
51,22965 14073 34664 24815 18512
52,27595 29283 16914 14653 35670
53,32797 19111 19112 31119 13428
54,28073 17099 10517 34885 26016
61,30266 15434 16256 9548 16141
64,30187 28207 9548 27842 18512
69,36583 35999 23431 36917 15434
76,21775 31756 28034 17593 3260
78,28207 19476 18512 14073 7337
79,9548 30187 12876 26246 20144
85,22965 8589 28198 33558 21354
89,18607 7337 5531 28207 30266
92,36035 9548 2440 8844 27317
93,5622 30694 19130 8796 26169
95,28207 10850 29845 34092 27396
100,30266 9548 34521 23360 18480
104,7524 12402 36705 15909 14046
105,11578 14371 28198 22965 14653
109,28198 7930 17411 5847 23569
110,28198 9548 17034 30187 22965
111,31632 4063 15803 3295 24815
112,27595 15803 110 855 22979
122,27110 30274 20080 18480 27842
126,21511 28198 21354 7594 35044
131,28198 12635 14322 7064 7930
132,28207 22965 17236 11906 8589
136,28198 30187 9548 18512 22965
140,27595 25709 34664 24815 18211
144,19935 14673 10018 12698 13960
145,13489 9548 19112 14415 13672
146,14653 26459 28198 11927 35407
151,28207 7337 33874 15803 34756
152,19112 18512 27842 30187 855
155,9213 24291 12086 6721 13960
156,13981 18512 32187 14653 10921
160,6178 22965 28840 20532 30694
162,14653 24163 3412 28861 2391
164,28198 36035 8844 7712 12635
165,30266 21088 1001 10517 30610
166,21293 26607 14673 30694 34756
169,9548 30187 18512 28207 31119
173,29579 9548 24822 27142 23865
179,9548 21354 14653 27595 26459
184,18855 36323 26607 7524 27841
185,32187 4113 32733 235 7156
186,7712 27317 12635 31662 8844
187,9548 7948 14415 19272 30187
189,14653 4113 10782 15076 31119
190,14653 31119 14371 29283 855
191,9089 30414 12450 110 21028
197,9548 17593 1715 30187 29579
205,18512 22965 9548 21354 30187
208,14653 27595 31632 110 855
209,14653 27595 8966 30951 30414
217,30668 25442 10517 17099 6721
218,9548 30187 27595 12876 28840
222,28198 14046 45 30694 18923
223,5371 17236 20144 149 29845
234,1001 2459 24297 34885 24149
240,30187 27595 29283 32733 4223
246,12922 32797 34885 19920 36960
247,28207 20080 33392 18512 27110
250,30187 34092 37062 29283 2440
257,34756 2003 21293 24149 6197
258,30668 19476 3944 15718 9089
268,9548 9089 26459 27407 14653
269,28840 20532 34283 30187 30694
270,9548 9089 30187 11578 17671
274,30187 27842 27595 28207 18512
278,9548 26459 27595 27827 28207
281,27180 37062 20699 34326 17667
288,19112 14653 28198 13489 31632
294,20144 27614 7999 20747 33558
296,28198 20731 18512 9784 27110
299,8999 33523 3904 33874 36449
301,20080 30610 30059 33392 27842
308,3960 15803 20934 9667 24815
310,32797 19112 13672 4478 28198
312,28198 27842 30187 9548 19112
314,30266 9548 29579 7492 31730
318,7318 31002 13672 3051 1190
321,34664 29644 2394 34215 30187
